LAT,LONG,DSG,CC1,ADM1,NT,FULL_NAME_RO
7.36,151.860556,CAPE,FM,3,N,Ununen Soni
7.36,151.860556,CAPE,FM,3,V,Cape Chare
7.36,151.860556,CAPE,FM,3,V,Chare
9.978056,139.618333,ISL,FM,4,V,Sōgatchikichi-tō
9.978056,139.618333,ISL,FM,4,N,Songetigech
9.978056,139.618333,ISL,FM,4,V,Sogatikichi To
9.978056,139.618333,ISL,FM,4,V,Songetigelisch
9.978056,139.618333,ISL,FM,4,V,Songetigetsh
8.764167,152.200556,ISL,FM,3,V,Sol Island
8.764167,152.200556,ISL,FM,3,N,Sol
6.684722,143.086667,ISL,FM,4,V,Sitiing
6.684722,143.086667,ISL,FM,4,N,Siteng
9.6,138.183333,HLL,FM,4,N,Siminmin
7.296111,151.820833,ISL,FM,3,V,Tsis Islet
7.296111,151.820833,ISL,FM,3,V,Suzuki Jima
7.296111,151.820833,ISL,FM,3,V,Susuki-Shima
7.296111,151.820833,ISL,FM,3,V,Sis
7.296111,151.820833,ISL,FM,3,N,Siis
7.296111,151.820833,ISL,FM,3,V,Tsis Islands
7.296111,151.820833,ISL,FM,3,V,Usu-Shima
7.296111,151.820833,ISL,FM,3,V,Suski Jima
7.296111,151.820833,ISL,FM,3,V,Tsis Island
7.296111,151.820833,ISL,FM,3,V,Shear Grass Island
7.296111,151.820833,ISL,FM,3,V,Tsis
6.75,157.966667,ISL,FM,2,V,Shikaroi Island
6.75,157.966667,ISL,FM,2,N,Shikaroi
8.481667,151.808889,ISL,FM,3,V,Setoanerappu-To
8.481667,151.808889,ISL,FM,3,V,Setoanerapu-tō
8.481667,151.808889,ISL,FM,3,V,Setoanelap Island
8.481667,151.808889,ISL,FM,3,N,Setoanelap
9.483333,138.133333,RK,FM,4,N,Entrance Rock
9.483333,138.133333,RK,FM,4,V,Entoranse-Iwa
9.483333,138.133333,RK,FM,4,V,Entoransu-iwa
9.483333,138.133333,RK,FM,4,V,Entorance Gan
7.317222,152.014722,ISL,FM,3,V,Tori Shima
7.317222,152.014722,ISL,FM,3,V,Tori Jima
7.317222,152.014722,ISL,FM,3,V,Metau
7.317222,152.014722,ISL,FM,3,V,Fanope
7.317222,152.014722,ISL,FM,3,V,Bird Island
7.317222,152.014722,ISL,FM,3,V,Alangeniman
7.317222,152.014722,ISL,FM,3,N,Engenenimo
7.317222,152.014722,ISL,FM,3,V,Nishi Shima
7.317222,152.014722,ISL,FM,3,V,Mishi Shima
7.317222,152.014722,ISL,FM,3,V,Alangenimon
7.317222,152.014722,ISL,FM,3,V,Elengenima
7.317222,152.014722,ISL,FM,3,V,Alangenmon
7.317222,152.014722,ISL,FM,3,V,Alanelimo Island
7.317222,152.014722,ISL,FM,3,V,Alanelimo
7.294167,151.478056,ISL,FM,3,V,Elengaseiru
7.294167,151.478056,ISL,FM,3,N,Enengeseiru
7.294167,151.478056,ISL,FM,3,V,Alansieru Island
7.294167,151.478056,ISL,FM,3,V,Alanseiru Island
7.294167,151.478056,ISL,FM,3,V,Alanseiru
6.783333,157.95,RK,FM,2,N,Emerii Rock
7.243611,144.440833,ISL,FM,4,V,Yaela
7.243611,144.440833,ISL,FM,4,V,Warira To
7.243611,144.440833,ISL,FM,4,V,Ella Island
7.243611,144.440833,ISL,FM,4,N,Ella
7.243611,144.440833,ISL,FM,4,V,Wariira-tō
9.987222,139.631667,ISL,FM,4,V,Erepiiku-tō
9.987222,139.631667,ISL,FM,4,V,Erepiku
9.987222,139.631667,ISL,FM,4,V,Erepikku-To
9.987222,139.631667,ISL,FM,4,N,Elipig
9.466667,138.083333,BLHL,FM,4,N,Bigeew
6.69,143.06,ISL,FM,4,N,Bekefas
6.69,143.06,ISL,FM,4,V,Pigefash
10.034722,139.745556,ISL,FM,4,V,Pegeppu
10.034722,139.745556,ISL,FM,4,V,Begef Island
10.034722,139.745556,ISL,FM,4,N,Begef
10.034722,139.745556,ISL,FM,4,V,Pegeppu-tō
7.533333,155.383333,RK,FM,2,N,Baxo Trista
3.866667,155,ISL,FM,2,V,Baraies
3.866667,155,ISL,FM,2,N,Baraiasi
3.866667,155,ISL,FM,2,V,Paraiiashi
3.866667,155,ISL,FM,2,V,Paleyashi
3.866667,155,ISL,FM,2,V,Pala I Iasi
9.501944,138.110556,PT,FM,4,V,Thum’uth
9.501944,138.110556,PT,FM,4,N,Thum’uuth
9.5675,138.149167,PT,FM,4,V,Throwaenifeeng
9.5675,138.149167,PT,FM,4,V,Thowenifeng
9.5675,138.149167,PT,FM,4,N,Thowaenifeeng
9.564444,138.148611,HLL,FM,4,V,Thowenifeng
9.564444,138.148611,HLL,FM,4,V,Throwaenifeeng
9.564444,138.148611,HLL,FM,4,N,Thowaenifeeng
9.564444,138.148611,HLL,FM,4,V,Thowanifeng
9.563333,138.2075,BLHL,FM,4,N,Thoelaeb
9.563333,138.2075,BLHL,FM,4,V,Tholab
9.517222,138.101944,HLL,FM,4,V,Thlomar
9.517222,138.101944,HLL,FM,4,N,Thaloomaar
9.517222,138.101944,HLL,FM,4,V,Tholomar
6.8375,158.326111,ISL,FM,2,N,Madol Peidi
5.329722,162.97,MT,FM,1,V,Sono Peak
5.329722,162.97,MT,FM,1,N,Mertens
5.329722,162.97,MT,FM,1,V,Merten’s Monument
5.329722,162.97,MT,FM,1,V,Sono
5.329722,162.97,MT,FM,1,V,Fuinwokaat
6.841944,158.33,ISL,FM,2,N,Madol Peidak
9.5,138.116667,PT,FM,4,V,Tulnguy
9.5,138.116667,PT,FM,4,N,Tulunguy
9.5,138.116667,PT,FM,4,V,Tuglup
9.556944,138.142222,HLL,FM,4,N,Molsron Tukunsru
9.556944,138.142222,HLL,FM,4,N,Tulunguy
3.861944,154.996111,ISL,FM,2,V,Tuira
3.861944,154.996111,ISL,FM,2,N,Tuila
3.861944,154.996111,ISL,FM,2,V,Tuila Island
3.861944,154.996111,ISL,FM,2,N,Tsis Anchorage
3.861944,154.996111,ISL,FM,2,V,Tsuira
8.766667,152.3,ISL,FM,3,N,Puketingar
10.066667,139.65,ISL,FM,4,N,Yareruwachichi
9.516667,138.1,ISL,FM,4,V,Yapa
9.516667,138.1,ISL,FM,4,V,Unawb
9.516667,138.1,ISL,FM,4,V,Uap
9.516667,138.1,ISL,FM,4,V,Ouap
9.516667,138.1,ISL,FM,4,V,Heap
9.516667,138.1,ISL,FM,4,V,Rull
9.516667,138.1,ISL,FM,4,V,Yap Island
9.516667,138.1,ISL,FM,4,N,Yap
9.516667,138.1,ISL,FM,4,V,Eap
9.516667,138.1,ISL,FM,4,V,Uyap
9.516667,138.1,ISL,FM,4,V,Guap
9.516667,138.1,ISL,FM,4,V,Yapputo
9.516667,138.1,ISL,FM,4,V,Waqab
8.3025,137.505833,ISL,FM,4,V,Yanneichiki Island
8.3025,137.505833,ISL,FM,4,V,Yannechiki-To
8.3025,137.505833,ISL,FM,4,V,Yannechiki Island
8.3025,137.505833,ISL,FM,4,N,Yannechiki
8.3025,137.505833,ISL,FM,4,V,Yannechiiki-To
9.55,138.15,PT,FM,4,V,Wuyef
9.55,138.15,PT,FM,4,V,Wief
9.55,138.15,PT,FM,4,N,Wuyeef
9.536111,138.131389,HLL,FM,4,N,Wuruq
9.536111,138.131389,HLL,FM,4,V,Wuru
9.549167,138.130278,HLL,FM,4,V,Wunun
9.549167,138.130278,HLL,FM,4,N,Wunuun’
9.533333,138.083333,BLHL,FM,4,N,Wunup
9.536111,138.112222,HLL,FM,4,N,Woraed
9.536111,138.112222,HLL,FM,4,V,Worad
9.536111,138.112222,HLL,FM,4,V,Wuror
7.328056,151.947778,ISL,FM,3,N,Wonno
7.328056,151.947778,ISL,FM,3,V,Wönnö
7.328056,151.947778,ISL,FM,3,V,Onna Island
7.328056,151.947778,ISL,FM,3,V,Onna
8.766667,152.283333,ISL,FM,3,N,Pukenaman
9.823611,139.705,ISL,FM,4,V,Puguryo
9.823611,139.705,ISL,FM,4,V,Pugelug Island
9.823611,139.705,ISL,FM,4,N,Pugelug
9.823611,139.705,ISL,FM,4,V,Puguriyu-To
9.823611,139.705,ISL,FM,4,V,Pugelig
9.823611,139.705,ISL,FM,4,V,Puguruyu-Tō
7.203056,151.984722,ISL,FM,3,V,Woles
7.203056,151.984722,ISL,FM,3,V,Pores
7.203056,151.984722,ISL,FM,3,V,Caplin
7.203056,151.984722,ISL,FM,3,V,Boenes
7.203056,151.984722,ISL,FM,3,N,Pones
7.203056,151.984722,ISL,FM,3,V,Pones Island
7.357222,149.200278,ISL,FM,3,V,Poroatto-tō
7.357222,149.200278,ISL,FM,3,V,Pozoat
7.357222,149.200278,ISL,FM,3,V,Poulouhot
7.357222,149.200278,ISL,FM,3,V,Poloot
7.357222,149.200278,ISL,FM,3,V,Poroatto
7.357222,149.200278,ISL,FM,3,N,Polowat
7.357222,149.200278,ISL,FM,3,V,Poloat
7.357222,149.200278,ISL,FM,3,V,Kata Island
7.357222,149.200278,ISL,FM,3,V,Puluwat
7.336389,151.576944,HLL,FM,3,V,Mount Meiamon
7.336389,151.576944,HLL,FM,3,N,Polle
7.336389,151.576944,HLL,FM,3,V,Neiamon
7.644722,149.420833,ISL,FM,3,V,Pourappu-tō
7.644722,149.420833,ISL,FM,3,V,Pulap
7.644722,149.420833,ISL,FM,3,N,Pollap
7.644722,149.420833,ISL,FM,3,V,Polap
7.644722,149.420833,ISL,FM,3,V,Pulap Island
7.644722,149.420833,ISL,FM,3,V,Olap
6.901667,158.302222,MT,FM,2,V,Pohn
6.901667,158.302222,MT,FM,2,V,Tehnmei
6.901667,158.302222,MT,FM,2,N,Pohn Tehnmei
9.533333,138.116667,HLL,FM,4,N,Gamuw
10.068056,139.642222,ISL,FM,4,N,Delesag
10.068056,139.642222,ISL,FM,4,V,Yareri
3.866667,154.983333,ISL,FM,2,V,Teachua
3.866667,154.983333,ISL,FM,2,N,Deahu
3.866667,154.983333,ISL,FM,2,V,Teahu Island
3.866667,154.983333,ISL,FM,2,V,Tehu Island
9.518056,138.095278,HLL,FM,4,V,Deebrech
9.518056,138.095278,HLL,FM,4,N,Deabreach
9.518056,138.095278,HLL,FM,4,V,Deebarech
9.574167,138.138889,HLL,FM,4,V,Deboch
9.574167,138.138889,HLL,FM,4,N,Deabach
9.574167,138.138889,HLL,FM,4,V,Dabach
8.583333,137.583333,ISL,FM,4,V,Taypuyappu-To
8.583333,137.583333,ISL,FM,4,N,Tapuyappu
7.366667,151.632778,ISL,FM,3,N,Tanion
6.956111,158.229444,PK,FM,2,V,Tolenot
6.956111,158.229444,PK,FM,2,N,Pohnlehr
9.563333,138.159167,HLL,FM,4,N,Quthmuluw
9.5,138.113611,PT,FM,4,V,Owpel
9.5,138.113611,PT,FM,4,V,Upel
9.5,138.113611,PT,FM,4,N,Qupeel
9.5,138.066667,BLHL,FM,4,N,Qoer
9.5,138.066667,BLHL,FM,4,V,Or
9.505,138.103889,HLL,FM,4,V,Ayeng
9.505,138.103889,HLL,FM,4,N,Qayëng
9.533333,138.15,HLL,FM,4,N,Tangeel
9.525278,138.160833,HLL,FM,4,N,Tamoor
9.520556,138.1,HLL,FM,4,N,Tamiliyeeg
7.543333,149.412222,ISL,FM,3,V,Tametam
7.543333,149.412222,ISL,FM,3,V,Tamatama-tō
7.543333,149.412222,ISL,FM,3,V,Tamatam Island
7.543333,149.412222,ISL,FM,3,N,Tamatam
7.543333,149.412222,ISL,FM,3,V,Runalin
7.543333,149.412222,ISL,FM,3,V,Molaluk
9.521389,138.083611,PT,FM,4,V,Tamel
9.521389,138.083611,PT,FM,4,N,Tamagël
9.528889,138.107222,HLL,FM,4,V,Talwed
9.528889,138.107222,HLL,FM,4,N,Taluweed
9.550278,138.139444,HLL,FM,4,N,Taloelaey
9.550278,138.139444,HLL,FM,4,V,Talolay
9.511111,138.085278,PT,FM,4,V,Taliw
9.511111,138.085278,PT,FM,4,N,Taliiw
9.582222,138.137222,HLL,FM,4,V,Fitgaan
9.582222,138.137222,HLL,FM,4,V,Fetegaan
9.582222,138.137222,HLL,FM,4,N,Fitgaqan
9.5,138.116667,HLL,FM,4,N,Fiteeyiluuy
9.5625,138.1675,HLL,FM,4,V,Fitetaman
9.5625,138.1675,HLL,FM,4,N,Fiteetamaan
9.580833,138.142778,HLL,FM,4,V,Fitetibay
9.580833,138.142778,HLL,FM,4,N,Fiteetabaay
9.580833,138.142778,HLL,FM,4,V,Fitetbay
9.577222,138.165,HLL,FM,4,N,Fiteeqiyuw
9.533333,138.1,HLL,FM,4,N,Fiteeniyaen’
9.566667,138.116667,HLL,FM,4,N,Fiteemawaar
9.5,138.15,BLHL,FM,4,N,Fiteegoer
8.766667,152.3,ISL,FM,3,N,Masamas
3.833333,155,ISL,FM,2,V,Masuku-mani
3.833333,155,ISL,FM,2,V,Masakumani
3.833333,155,ISL,FM,2,N,Masakomani
3.833333,155,ISL,FM,2,V,Masagumani
10.013056,139.728056,ISL,FM,4,V,Mass
10.013056,139.728056,ISL,FM,4,N,Mas
10.013056,139.728056,ISL,FM,4,V,Maashu To
10.013056,139.728056,ISL,FM,4,V,Māshu-tō
10.013056,139.728056,ISL,FM,4,V,Mas Islands
9.833333,139.65,RK,FM,4,N,Maru Rock
9.833333,139.65,RK,FM,4,V,Maru
8.616667,152.233333,ISL,FM,3,V,Neroro Island
8.616667,152.233333,ISL,FM,3,N,Neroro
7.405,151.674444,PT,FM,3,V,Wanuunen Neepwor
7.405,151.674444,PT,FM,3,V,Nepor
7.405,151.674444,PT,FM,3,V,Ununen Nepon
7.405,151.674444,PT,FM,3,N,Unun en Nepor
7.384444,151.733333,PT,FM,3,N,Oror en Nepinom
7.384444,151.733333,PT,FM,3,V,Napi
7.386111,151.741667,PT,FM,3,V,Napenas
7.386111,151.741667,PT,FM,3,N,Unun en Nepenas
7.35,151.6,HLL,FM,3,N,Neout
8.716667,152.183333,ISL,FM,3,V,Eliluk Island
8.716667,152.183333,ISL,FM,3,N,Eliluk
8.716667,152.183333,ISL,FM,3,V,Eriruku-tō
10.058889,139.628056,ISL,FM,4,N,Eleute
10.058889,139.628056,ISL,FM,4,V,Mazetchieru-tō
10.058889,139.628056,ISL,FM,4,V,Mazetchieru
10.058889,139.628056,ISL,FM,4,V,Majetchieru To
7.416667,151.783333,ISLS,FM,3,V,Chuuk
7.416667,151.783333,ISLS,FM,3,V,Truk
7.416667,151.783333,ISLS,FM,3,V,Truk Inseln
7.416667,151.783333,ISLS,FM,3,V,Torakku -shotō
7.416667,151.783333,ISLS,FM,3,V,Stsiuck
7.416667,151.783333,ISLS,FM,3,V,Schuck
7.416667,151.783333,ISLS,FM,3,V,Ruku
7.416667,151.783333,ISLS,FM,3,V,Nomituck
7.416667,151.783333,ISLS,FM,3,V,Lugulus
7.416667,151.783333,ISLS,FM,3,V,Lanomituk
7.416667,151.783333,ISLS,FM,3,V,Lagulus
7.416667,151.783333,ISLS,FM,3,V,Hogoleu Islands
7.416667,151.783333,ISLS,FM,3,N,Truk Islands
7.416667,151.783333,ISLS,FM,3,N,Towngil
7.416667,151.783333,ISLS,FM,3,V,Hogolu Islands
7.416667,151.783333,ISLS,FM,3,V,Houg
7.416667,151.783333,ISLS,FM,3,V,Torres
7.416667,151.783333,ISLS,FM,3,V,Ugulut
7.416667,151.783333,ISLS,FM,3,V,Rukgruppe
7.416667,151.783333,ISLS,FM,3,V,Roug
7.416667,151.783333,ISLS,FM,3,V,Ruc
7.416667,151.783333,ISLS,FM,3,V,Chuuk Islands
9.556667,138.135833,HLL,FM,4,N,Towaelbuq
9.556667,138.135833,HLL,FM,4,V,Towolbu’
9.556667,138.135833,HLL,FM,4,V,Towaelbug
9.556667,138.135833,HLL,FM,4,V,Towachi-Suido
9.516667,138.116667,HLL,FM,4,N,Fiteechagow
9.533333,138.1,HLL,FM,4,N,Fiteebulngean
8.449444,151.7675,ISL,FM,3,N,Pissisin
8.449444,151.7675,ISL,FM,3,V,Pissisin Island
6.838056,152.701111,ISLS,FM,3,N,Pis Islands
7.481667,151.825,ISL,FM,3,N,Pisiras
7.481667,151.825,ISL,FM,3,V,Scheiben Islet
7.481667,151.825,ISL,FM,3,V,Pisiras Island
7.481667,151.825,ISL,FM,3,V,Scheiben Island
7.385278,151.599444,ISL,FM,3,N,Wonei
7.385278,151.599444,ISL,FM,3,V,Woney
7.385278,151.599444,ISL,FM,3,V,Wone-Onei
7.357222,151.626667,HLL,FM,3,N,Wonachaw
9.552778,138.150278,HLL,FM,4,N,Wol’maed
9.552778,138.150278,HLL,FM,4,V,Wolmat
9.552778,138.150278,HLL,FM,4,V,Wolmad
9.541111,138.133889,HLL,FM,4,V,Wolfangol
9.541111,138.133889,HLL,FM,4,N,Wol’fangöl
5.479722,153.474167,ISL,FM,3,N,Mariong
5.479722,153.474167,ISL,FM,3,V,Merion
5.479722,153.474167,ISL,FM,3,V,Mariong Island
5.479722,153.474167,ISL,FM,3,V,Meriong
5.479722,153.474167,ISL,FM,3,V,Marione
7.370833,143.894722,ISL,FM,4,V,Mareyon
7.370833,143.894722,ISL,FM,4,V,Maryong
7.370833,143.894722,ISL,FM,4,V,Insel Marijong
7.370833,143.894722,ISL,FM,4,N,Mariaon
7.370833,143.894722,ISL,FM,4,V,Mariom
7.370833,143.894722,ISL,FM,4,V,Mariaon Island
7.370833,143.894722,ISL,FM,4,V,Mariyang
7.048056,157.820556,ISL,FM,2,V,Katelma Island
7.048056,157.820556,ISL,FM,2,V,Mantō-tō
7.048056,157.820556,ISL,FM,2,V,Mant
7.048056,157.820556,ISL,FM,2,N,Mwand
7.048056,157.820556,ISL,FM,2,V,Mant Island
5.486667,153.479444,ISL,FM,3,V,Mano Island
5.486667,153.479444,ISL,FM,3,N,Mano
9.476667,138.061389,BLHL,FM,4,V,Mangyor
9.476667,138.061389,BLHL,FM,4,V,Mangiyor
9.476667,138.061389,BLHL,FM,4,N,Mangyoer
9.450278,138.066944,HLL,FM,4,V,Rurbal’
9.450278,138.066944,HLL,FM,4,N,Ruurbaal’
9.572778,138.176111,ISL,FM,4,N,Ruunguch
9.572778,138.176111,ISL,FM,4,V,Runguch
5.31,162.990833,MT,FM,1,V,Finol Finkol
5.31,162.990833,MT,FM,1,V,Crozer Berg
5.31,162.990833,MT,FM,1,V,Fenkol-Berg
5.31,162.990833,MT,FM,1,V,Mount Crozer
5.31,162.990833,MT,FM,1,N,Finol Finkol
5.31,162.990833,MT,FM,1,V,Finkol
5.31,162.990833,MT,FM,1,V,Honkoru-San
5.31,162.990833,MT,FM,1,V,Mount Crozier
5.31,162.990833,MT,FM,1,V,Honkoru
3.85,154.966667,ATOL,FM,2,V,Nukuwor
3.85,154.966667,ATOL,FM,2,V,Nukuor Inseln
3.85,154.966667,ATOL,FM,2,V,Nugoro To
3.85,154.966667,ATOL,FM,2,V,Monteverdeson’s Group
3.85,154.966667,ATOL,FM,2,V,Nougoure
3.85,154.966667,ATOL,FM,2,V,Nukuoro Inseln
3.85,154.966667,ATOL,FM,2,V,Dunkin Islands
3.85,154.966667,ATOL,FM,2,V,Nukuoro
3.85,154.966667,ATOL,FM,2,V,Nukuoro Islands
3.85,154.966667,ATOL,FM,2,V,Monteverde Islands
3.85,154.966667,ATOL,FM,2,V,Nugōru-tō
3.85,154.966667,ATOL,FM,2,V,Nuguor
3.85,154.966667,ATOL,FM,2,N,Nukuoro Atoll
3.85,154.966667,ATOL,FM,2,V,Monteverde Island
9.528056,138.145556,PT,FM,4,V,Darech
9.528056,138.145556,PT,FM,4,N,Dareach
3.883333,154.966667,ISL,FM,2,N,Darakivao
3.883333,154.966667,ISL,FM,2,V,Taraki Whau
3.883333,154.966667,ISL,FM,2,V,Tala-kei-wao
3.883333,154.966667,ISL,FM,2,V,Tarakaivau
3.866667,154.95,ISL,FM,2,N,Darainamu
3.866667,154.95,ISL,FM,2,V,Tarai-name
3.866667,154.95,ISL,FM,2,V,Tavainamu
3.866667,154.95,ISL,FM,2,V,Talai Namo
9.489167,138.0625,BLHL,FM,4,V,Daabiyuch
9.489167,138.0625,BLHL,FM,4,V,Daabyuch
9.489167,138.0625,BLHL,FM,4,N,Daqabyuch
8.59,151.840556,ISL,FM,3,V,Pisira Islet
8.59,151.840556,ISL,FM,3,V,Pissira
8.59,151.840556,ISL,FM,3,V,Pishira-tō
8.59,151.840556,ISL,FM,3,N,Pisira
8.59,151.840556,ISL,FM,3,V,Pisichö
8.59,151.840556,ISL,FM,3,V,Pisidjo
8.59,151.840556,ISL,FM,3,V,Pisira Island
7.346667,151.9875,ISL,FM,3,V,Pisilul
7.346667,151.9875,ISL,FM,3,V,Bisinum
7.346667,151.9875,ISL,FM,3,V,Pisiron
7.346667,151.9875,ISL,FM,3,V,Boquet Island
7.346667,151.9875,ISL,FM,3,N,Pisinun
7.346667,151.9875,ISL,FM,3,V,4 P.M. Island
7.346667,151.9875,ISL,FM,3,V,Sara Jima
7.346667,151.9875,ISL,FM,3,V,Saru-shima
7.346667,151.9875,ISL,FM,3,V,Monkey Island
7.346667,151.9875,ISL,FM,3,V,Pisitul
7.650278,151.679444,ISL,FM,3,V,Ran Shima
7.650278,151.679444,ISL,FM,3,V,Pisininil
7.650278,151.679444,ISL,FM,3,V,Pisini
7.650278,151.679444,ISL,FM,3,V,Pisililin Reef
7.650278,151.679444,ISL,FM,3,V,Lamoil
7.650278,151.679444,ISL,FM,3,N,Pisininin
7.650278,151.679444,ISL,FM,3,V,Lamoil Island
7.650278,151.679444,ISL,FM,3,V,Orchid Island
7.650278,151.679444,ISL,FM,3,V,Ran
8.434167,151.7275,ISL,FM,3,V,Pissef
8.434167,151.7275,ISL,FM,3,V,Foieu
8.434167,151.7275,ISL,FM,3,V,Pishiefu-tō
8.434167,151.7275,ISL,FM,3,N,Pisief
8.434167,151.7275,ISL,FM,3,V,Pisef Island
8.434167,151.7275,ISL,FM,3,V,Pesief Island
8.434167,151.7275,ISL,FM,3,V,Pisief Island
8.434167,151.7275,ISL,FM,3,V,Pissel
7.354167,151.855556,PT,FM,3,N,Dadu
7.338889,151.7775,ISL,FM,3,V,Tatu
7.338889,151.7775,ISL,FM,3,V,Tardieu
7.338889,151.7775,ISL,FM,3,V,Hibiscus Island
7.338889,151.7775,ISL,FM,3,V,Fuyo
7.338889,151.7775,ISL,FM,3,V,Dadum
7.338889,151.7775,ISL,FM,3,N,Toronmurui
7.338889,151.7775,ISL,FM,3,V,Tarik
7.338889,151.7775,ISL,FM,3,V,Teetiw
7.338889,151.7775,ISL,FM,3,V,Tadiu
7.338889,151.7775,ISL,FM,3,V,Tarik Island
7.338889,151.7775,ISL,FM,3,V,Rose Mallow Island
7.338889,151.7775,ISL,FM,3,V,Totiu
7.338889,151.7775,ISL,FM,3,V,Fuyō-shima
7.338889,151.7775,ISL,FM,3,N,Totiw
7.338889,151.7775,ISL,FM,3,V,Teetiu
1.1,154.766667,ISL,FM,2,V,Torongahai-To
1.1,154.766667,ISL,FM,2,V,Torongahai
1.1,154.766667,ISL,FM,2,N,Toronghai
1.1,154.766667,ISL,FM,2,V,Torliyag
9.5025,138.076944,PT,FM,4,N,Toqayong
9.565556,138.16,PT,FM,4,N,Tonarok
7.373889,151.872222,ISL,FM,3,V,Dublon
7.373889,151.872222,ISL,FM,3,V,Dublon Island
7.373889,151.872222,ISL,FM,3,N,Tonoas
7.373889,151.872222,ISL,FM,3,V,Kapinibere To
7.373889,151.872222,ISL,FM,3,V,Tonowan
7.373889,151.872222,ISL,FM,3,V,Wela-Tolos
7.373889,151.872222,ISL,FM,3,V,Natsu-Shima
7.373889,151.872222,ISL,FM,3,V,Toloas
7.373889,151.872222,ISL,FM,3,V,Summer Island
7.373889,151.872222,ISL,FM,3,V,Tonowas
7.373889,151.872222,ISL,FM,3,V,Matsu Shima
7.373889,151.872222,ISL,FM,3,V,Natu Sima
7.678056,151.793333,ISL,FM,3,V,Ne Shima
7.678056,151.793333,ISL,FM,3,V,Ushi Island
7.678056,151.793333,ISL,FM,3,V,Rat Island
7.678056,151.793333,ISL,FM,3,V,Pisemeu
7.678056,151.793333,ISL,FM,3,V,Na Shima
7.678056,151.793333,ISL,FM,3,V,Mouse Island
7.678056,151.793333,ISL,FM,3,V,Cow Island
7.678056,151.793333,ISL,FM,3,N,Pisemew
7.678056,151.793333,ISL,FM,3,V,Tonelik
7.678056,151.793333,ISL,FM,3,V,Wonaaf
7.678056,151.793333,ISL,FM,3,V,Tonelik Island
7.678056,151.793333,ISL,FM,3,V,Ongo Island
7.678056,151.793333,ISL,FM,3,V,Twelve P.M. Island
7.678056,151.793333,ISL,FM,3,V,Tonacaw
